*	name	自作英単語帳
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
*	deck-stats-1	1873,1958,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Text 1	Text 2	Text 3	Statistics 1
levy	But the levy hike to 8% from 5%—Japan’s first sales tax rise in 17 years—slammed the brakes on consumer spending, plunging the economy into recession and throwing the success of Abenomics into question.	課税	
prosthetic	Women wearing prosthetic legs participate in a public photo session at the Hasselblad and Profoto booth, during the CP+ camera and imaging equipment trade fair in Yokohama over the weekend.	人工補充物の	2,0,1,1,1,2,22,2015-05-13 13:41,2015-02-19 15:01
syndicate	Police in Kitakyushu, Fukuoka Prefecture, have arrested three senior members of the Kudo-kai yakuza crime syndicate over the attack on a dentist last May.	売春暴力などの，大がかりな犯罪組織	1,0,1,1,1,2,0,2015-05-13 13:41,1970-01-01 09:00
unconscious	TV Asahi reported that the sign, which had been attached to the Kani Honke restaurant, knocked the woman unconscious, fracturing her skull.	無意識であるさま。意識不明であるさま。	2,0,0,0,0,1,20,2015-02-18 17:01,2015-02-19 13:01
fracturing	TV Asahi reported that the sign, which had been attached to the Kani Honke restaurant, knocked the woman unconscious, fracturing her skull.	〈骨金属など〉を折る, …に亀裂を生ず	
skull	TV Asahi reported that the sign, which had been attached to the Kani Honke restaurant, knocked the woman unconscious, fracturing her skull.	頭蓋骨	
evacuated	A Japanese Foreign Ministry official said Monday that the ambassador and four staff were evacuated on Sunday and the embassy closed.	〈人が〉〈危険な場所など〉から避難する, …を明け渡す; 〘軍〙〈軍隊が〉…から撤退する	1,0,0,0,0,1,0,2015-02-18 17:01,1970-01-01 09:00
embassy	A Japanese Foreign Ministry official said Monday that the ambassador and four staff were evacuated on Sunday and the embassy closed.	大使館	2,0,0,0,0,1,22,2015-02-17 15:48,2015-02-18 13:48
hostages	Egyptian warplanes struck Islamic State targets in Libya on Monday in swift retribution for the extremists’ beheading of a group of Egyptian Christian hostages on a beach, shown in a grisly online video released hours earlier.	人質	2,0,1,1,1,2,18,2015-05-13 13:41,2015-02-18 09:48
